reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
14,176,81,0,0,0,46,11.633859499997925,12.57349629997043,12.57349629997043,12.639455800002906,t,1.4042173000052571,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
95,153,64,0,1,1,66,14.006736299954355,14.990767299954314,14.990767299954314,15.008085899986327,t,0.8439021999947727,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
56,100,23,0,2,2,7,15.857558199961204,16.842071199964266,16.842071199964266,16.858421999961138,l,0.453154299990274,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
67,75,119,0,3,3,5,17.324793499952648,18.326677199976984,18.326677199976984,18.326677199976984,t,1.2078243999858387,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
67,340,150,0,4,4,8,19.558773099968676,20.560451800003648,20.560451800003648,20.560451800003648,t,1.2263320999918506,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
55,131,73,0,5,5,77,21.80985520000104,22.795110899955034,22.795110899955034,22.81206149997888,t,0.703649899980519,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
31,100,11,0,6,6,91,23.52703339996515,24.511960799980443,24.511960799980443,24.528431399958208,l,1.0562811000272632,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
16,129,14,0,7,7,35,25.5944795999676,26.595103100000415,26.595103100000415,26.595103100000415,l,0.8932412000140175,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
77,117,21,0,8,8,53,27.51215319999028,28.49636449996615,28.49636449996615,28.513310999958776,l,0.53299540001899,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
48,133,8,0,9,9,31,29.045798699953593,30.048083400004543,30.048083400004543,30.048083400004543,l,0.5381035999744199,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
18,103,82,0,10,10,71,30.613298399955966,31.597200399963185,31.597200399963185,31.614481500000693,l,0.6643427000381052,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
90,149,94,0,11,11,44,32.28072300000349,33.281964399968274,33.281964399968274,33.281964399968274,l,0.4355187999899499,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
40,55,62,0,12,12,3,33.747763599967584,34.732758199970704,34.732758199970704,34.74938589998055,t,0.5341403999482282,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
33,133,93,0,13,13,62,35.298375899961684,36.28272879996803,36.28272879996803,36.30069189995993,t,0.3897809999762103,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
27,50,21,0,14,14,2,36.69886399997631,37.68316590000177,37.68316590000177,37.70007570000598,t,0.4268957999884151,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
98,121,17,0,15,15,61,38.13264209998306,39.11694029998034,39.11694029998034,39.13355489994865,l,1.0145544999977574,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
37,113,42,0,16,16,96,40.15038119995734,41.1511403999757,41.1511403999757,41.1511403999757,l,0.5332476000185125,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
49,60,89,0,17,17,4,41.70091819996014,42.70281559997238,42.70281559997238,42.70281559997238,t,0.7124111999874003,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
4,155,48,0,18,18,50,43.43498989997897,44.436173099966254,44.436173099966254,44.436173099966254,l,0.6306707999901846,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
25,102,29,0,19,19,56,45.0851299999631,46.08596029999899,46.08596029999899,46.08596029999899,t,0.38133309996919706,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
66,146,33,0,20,20,84,46.48583189997589,47.46954879997065,47.46954879997065,47.48647949995939,t,0.459850599989295,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
1,170,100,0,21,21,97,47.953164399950765,48.93691940000281,48.93691940000281,48.953562999959104,t,0.3707134000142105,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
21,24,95,0,22,22,13,49.33753129997058,50.32093210000312,50.32093210000312,50.337688600004185,t,0.49524870002642274,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
32,166,2,0,23,23,54,50.837603499996476,51.83817349997116,51.83817349997116,51.83817349997116,t,0.4591525999712758,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
71,114,34,0,24,24,57,52.32187739998335,53.30576259997906,53.30576259997906,53.322208900004625,t,0.6676852999953553,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
44,144,35,0,25,25,99,54.00522849999834,54.98931169998832,54.98931169998832,55.00663339998573,l,0.42888640001183376,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
2,8,28,0,26,26,12,55.43928289995529,56.44056829996407,56.44056829996407,56.44056829996407,l,0.5566544000175782,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
86,153,12,0,27,27,83,57.0234907999984,58.007510099967476,58.007510099967476,58.02407789998688,l,0.33323879999807104,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
40,85,75,0,28,28,16,58.35721629997715,59.35859989997698,59.35859989997698,59.35859989997698,l,0.3446534999529831,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
91,176,10,0,29,29,85,59.724569999962114,60.70872999995481,60.70872999995481,60.72511369996937,t,0.33148450002772734,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
39,144,25,0,30,30,29,61.059038599953055,62.05877010000404,62.05877010000404,62.05877010000404,t,0.33789249998517334,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
87,90,54,0,31,31,25,62.4256924999645,63.40968449995853,63.40968449995853,63.42657999997027,l,0.34198969998396933,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
57,122,55,0,32,32,33,63.77636929997243,64.76021999999648,64.76021999999648,64.77698989998316,l,0.5483213000115938,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
64,137,27,0,33,33,82,65.32663749996573,66.32759889995214,66.32759889995214,66.32759889995214,t,0.3036817999673076,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
100,177,62,0,34,34,93,66.66013829997974,67.66167929995572,67.66167929995572,67.66167929995572,l,0.3111014000023715,None,257633 zy,001,2023-11-22_19h46.47.360,mtg,2023.1.3,59.37519484340603,
