reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,
36,129,86,0,33,33,60,123.8513979,124.8520837,124.8520837,124.8520837,l,1.6831221,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
86,153,12,0,34,34,83,128.2198001,129.2204733,129.2204733,129.2204733,l,1.1186314,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
60,160,20,0,35,35,48,130.5040535,131.5045742,131.5045742,131.5045742,l,1.9836298,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
35,113,1,0,36,36,67,133.7053038,134.7058455,134.7058455,134.7058455,l,1.292988,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
31,100,11,0,37,37,91,136.5230812,137.5236986,137.5236986,137.5236986,l,3.3190881,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
28,161,59,0,38,38,79,139.2907888,140.2914238,140.2914238,140.2914238,l,1.5252859,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
33,133,93,0,39,39,62,144.1592757,145.1597458,145.1597458,145.1597458,l,2.0178433,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
1,170,100,0,40,40,97,146.5269327,147.5275096,147.5275096,147.5275096,l,2.3879817,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,geomean ,2.191734375
49,60,89,0,41,41,4,149.6781477,150.6787354,150.6787354,150.6787354,t,2.0116149,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
15,140,53,0,42,42,70,153.1294683,154.1300063,154.1300063,154.1300063,t,1.4533114,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
25,102,29,0,43,43,56,154.9969048,155.9974062,155.9974062,155.9974062,t,2.967598,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
67,75,119,0,44,44,5,157.8890348,158.848546,158.848546,158.8984987,t,3.0208055,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
51,122,40,0,45,45,43,160.015399,161.0159567,161.0159567,161.0159567,t,1.1841065,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
94,167,9,0,46,46,90,163.4332587,164.4337388,164.4337388,164.4337388,t,2.1222499,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
88,90,52,0,47,47,15,166.0010198,167.0015902,167.0015902,167.0015902,t,2.0122462,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
71,114,34,0,48,48,57,168.3351744,169.3357224,169.3357224,169.3357224,t,5.6417641,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
11,130,84,0,49,49,49,172.1701582,173.170562,173.170562,173.170562,t,3.2313642,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
79,567,88,0,50,50,20,176.1380492,177.138748,177.138748,177.138748,t,3.2698995,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
77,117,21,0,51,51,53,178.6743569,179.6731452,179.6731452,179.6897076,t,1.483053,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
100,177,62,0,52,52,93,181.1236489,182.1240332,182.1240332,182.1240332,t,1.6341623,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
67,340,150,0,53,53,8,184.2915021,185.2919403,185.2919403,185.2919403,t,1.2953223,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
53,139,44,0,54,54,42,187.6761654,188.676629,188.676629,188.676629,t,1.1440671,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
50,108,38,0,55,55,74,191.6609869,192.6614959,192.6614959,192.6614959,t,1.2015862,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
18,103,82,0,56,56,71,195.3455854,196.3461817,196.3461817,196.3461817,t,1.9516148,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
17,110,60,0,57,57,78,199.2969103,200.2975896,200.2975896,200.2975896,t,1.0310954,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
