reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
42,155,26,0,30,30,89,86.3383741,87.3389412,87.3389412,87.3389412,t,2.2461086,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,1.078831046
70,89,50,0,31,31,17,88.7392638,89.7398157,89.7398157,89.7398157,t,1.6549823,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
18,103,82,0,32,32,71,90.6067423,91.6072505,91.6072505,91.6072505,t,1.2676042,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
40,55,62,0,33,33,3,92.5240682,93.5246625,93.5246625,93.5246625,t,1.0548277,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
12,146,37,0,34,34,68,94.2747924,95.2752858,95.2752858,95.2752858,t,1.488001,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
22,113,57,0,35,35,92,95.7419516,96.742521,96.742521,96.742521,t,0.8845459,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
77,117,21,0,36,36,53,97.1759992,98.1765753,98.1765753,98.1765753,t,0.9844465,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
2,8,28,0,37,37,12,99.3432806,100.3440179,100.3440179,100.3440179,t,1.18617,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
98,121,17,0,38,38,61,101.394022,102.3947651,102.3947651,102.3947651,t,0.6175131,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
37,113,42,0,39,39,96,103.9283989,104.929044,104.929044,104.929044,t,1.6835163,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
50,108,38,0,40,40,74,106.4241356,107.429921,107.429921,107.429921,t,1.5354733,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
35,113,1,0,41,41,67,108.896993,109.8975591,109.8975591,109.8975591,t,1.2844419,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
44,144,35,0,42,42,99,111.64798,112.6485546,112.6485546,112.6485546,t,1.3882706,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
